Column1,Column2,Column3
-3472,-3047,-1671
-3364,-3053,-1600
-3344,-3038,-1496
-3113,-2981,-1115
-3102,-2670,-1025
-3004,-2604,-811
-2835,-2542,-745
-2851,-2347,-419
-2525,-2201,-358
-2432,-1863,-224
-2209,-1635,-147
-2096,-1577,61
-1980,-1247,183
-1948,-1186,283
-1462,-644,461
-1380,-527,515
-1243,-197,666
-1134,-118,699
-1023,-96,713
-946,-74,728
-761,-29,738
-706,-29,745
-654,-28,752
-411,-28,612
-238,-28,266
-201,-28,221
50,-28,154
208,-28,87
230,-28,30
557,224,-79
633,374,-291
1034,542,-504
1188,649,-612
1242,760,-700
1427,946,-859
1439,1014,-1079
1497,993,-1113
1492,972,-1214
1489,950,-1395
1489,928,-1461
1492,906,-1711
1451,754,-1924
1451,371,-2185
1442,238,-2361
1338,56,-2581
796,-504,-2658
704,-728,-2783
459,-1012,-3034
402,-1178,-3095
274,-1274,-3126
139,-1404,-3314
-215,-1679,-3330
-262,-1762,-3360
-297,-1802,-3506
-349,-1857,-3380
-368,-1925,-3370
-388,-1972,-3368
-407,-1990,-3368
-417,-1990,-3361
-413,-1990,-3361
-390,-1990,-3359
-364,-1990,-3295
-141,-1979,-3222
-83,-1924,-2969
-70,-1832,-2967
-50,-1581,-2849
-6,-1322,-2755
61,-1234,-2143
55,-1192,-2040
-789,-1148,-1429
-817,-1127,-1316
-863,-1122,-1189
-906,-1294,-1148
-1377,-1512,-808
-1652,-1549,-782
-1745,-1631,-724
-2081,-1757,-556
-2075,-1778,-561
-2218,-1875,-528
-2210,-1912,-441
-2191,-1947,-419
-2174,-2069,-451
-2157,-2092,-418
-2143,-2046,-210
-1859,-2023,-244
-1792,-2048,-202
-1685,-2028,-194
-1571,-1637,-181
-1457,-1437,25
-1457,-1414,88
-1403,-1415,157
-1403,-1333,639
-1393,-962,718
-1393,-898,1064
-1312,-860,1142
-1312,-868,1254
-1312,-785,1547
-1302,-711,1541
-1302,-664,1612
-1302,-679,1705
-1208,-514,1780
-1184,-517,1767
-1159,-314,1751
-1154,-335,1718
-1034,-236,1693
-821,-254,1585
-314,-102,1571
-241,-75,1557
-69,89,1544
457,436,1495
891,511,1477
1675,1130,1477
1737,1288,1477
2300,1659,1477
2765,2253,1477
3471,2667,1477
4037,3487,1504
4458,3784,1515
4999,4454,1515
5145,4496,1539
5157,4537,1584
5148,4588,1613
5135,4643,1623
5119,4696,1661
5100,4748,1567
5082,4544,1507
4845,4348,1481
4577,3881,1345
4556,3875,1327
3792,2838,1045
3784,2636,570
2933,1235,-132
2781,840,-420
2176,-2,-1026
1535,-1040,-1370
1286,-1166,-1883
509,-1698,-2017
309,-1947,-2487
173,-2053,-2764
-362,-2590,-3343
-515,-2647,-3465
-774,-2749,-3794
-909,-2953,-3855
-1145,-3018,-3906
-1198,-3066,-4013
-1365,-3088,-4072
-1454,-3139,-4078
-1634,-3230,-4088
-1731,-3505,-4133
-1938,-3503,-4200
-1993,-3641,-4322
-2034,-3742,-4453
-2060,-3698,-4491
-2008,-3644,-4517
-1961,-3582,-4592
-1947,-3520,-4634
-1972,-3456,-4613
-1893,-3375,-4554
-1804,-3259,-4512
-1710,-3060,-4409
-1607,-2972,-4320
-1563,-2590,-4259
-1468,-2431,-4162
-1434,-2347,-4092
-1403,-2183,-3976
-1272,-2062,-3889
-1228,-1999,-3796
-1050,-1869,-3696
-980,-1670,-3567
-770,-1631,-3492
-732,-1599,-3155
-676,-1575,-3017
-639,-1551,-2764
-608,-1670,-2409
-577,-1664,-2402
-554,-1661,-2348
-541,-1672,-2176
-554,-1723,-2178
-601,-1745,-2077
-748,-1779,-1976
-802,-1903,-1921
-838,-1922,-1917
-920,-1938,-1874
-997,-2008,-1779
-1063,-2042,-1741
-1126,-2083,-1673
-1194,-2098,-1633
-1188,-2105,-1510
-1237,-2106,-1477
-1321,-2100,-1356
-1338,-2106,-1294
-1419,-2109,-1157
-1498,-2107,-1060
-1561,-2092,-927
-1638,-2073,-676
-1648,-1865,-527
-1714,-1661,10
-1729,-1480,372
-1804,-1273,742
-1834,-1007,1024
-1841,-547,1511
-1785,-375,1852
-1718,-72,2146
-1642,176,2810
-1576,427,3172
-1499,714,3424
-1416,895,3560
-1323,1062,3717
-1269,1212,3890
-1183,1364,4217
-1089,1562,4451
-987,1783,4613
-877,1982,4701
-781,2121,4775
-660,2252,4879
-570,2358,4959
-532,2474,5063
-427,2568,5152
-321,2657,5190
-171,2655,5220
-60,2755,5298
64,2842,5235
206,2933,5319
340,3009,5412
484,3086,5402
611,3102,5187
747,3200,5035
899,3224,4940
1049,3345,4834
1261,3402,4599
1490,3499,4349
1667,3509,4276
1834,3494,3687
2133,3533,3459
2181,3528,3143
2212,3446,2959
2226,3452,2785
2212,3291,2784
2180,3291,2781
2133,3147,2620
2057,3132,2606
1991,3064,2420
1735,2973,2381
1521,2843,2339
1374,2680,2323
1163,2626,2339
929,2492,2267
707,2307,2192
574,2010,1920
394,1668,1899
350,1580,1663
268,1506,1497
182,1332,1277
154,1241,1031
132,1118,834
139,1048,620
137,806,434
167,772,326
241,752,-86
256,683,-371
450,605,-576
483,618,-603
777,608,-928
768,581,-1025
746,486,-1046
719,496,-1395
718,466,-1350
726,470,-1300
605,206,-1258
584,201,-1205
589,214,-1142
336,191,-1068
290,242,-904
5,201,-675
-39,144,-596
-491,112,-140
-603,72,20
-1106,-33,673
-1158,-116,778
-1238,-151,1109
-1312,-221,1195
-1374,-194,1204
-1430,-291,1211
-1481,-211,1191
-1512,-164,1427
-1497,-19,1502
-1503,38,1638
-1431,74,1676
-1478,299,1960
-1271,375,1997
-1074,502,1997
-1050,454,2062
-1042,534,2070
-753,485,2142
-763,623,2144
-400,712,2118
-306,836,2084
-343,818,2090
-249,925,2231
-278,992,2536
-268,1070,2673
-284,1061,2716
-300,1132,2818
-316,1113,3091
-362,1116,3140
-424,1365,3160
-458,1375,3554
-502,1571,3779
-527,1596,3856
-560,1687,3860
-614,1667,3900
-678,1645,3905
-730,1616,3965
-863,1598,3990
-965,1595,3990
-1026,1601,4098
-1109,1570,4091
-1142,1597,4157
-1176,1568,4190
-1209,1584,4254
-1243,1592,4412
-1276,1586,4388
-1156,1680,4378
-1006,1718,4363
-1055,1958,4484
-1060,2192,4455
-1130,2205,4280
-1203,2222,4272
-1040,2369,4263
-891,2518,4252
-651,2564,4199
-681,2531,4167
-426,2467,3840
-557,2325,3771
-206,2231,3296
-191,2167,3274
-205,2011,2879
-356,1794,2656
-557,1544,2339
-319,1372,1934
-420,1033,1686
-587,909,1597
-714,803,1444
-849,689,1181
-1042,567,1047
-1257,225,993
-1397,-15,766
-1515,-205,693
-1658,-324,364
-1699,-764,243
-1753,-857,-36
-1731,-988,-515
-1699,-1194,-786
-1705,-1530,-1247
-1666,-1601,-1729
-1559,-1652,-1884
-1563,-1817,-2476
-1586,-1832,-2586
-1572,-2185,-2932
-1521,-2327,-2938
-1480,-2609,-3677
-1448,-2766,-3931
-1553,-3019,-4114
-1667,-3451,-4392
