40,4,1705
-74,-1701,-3328
-28,-1671,-3328
-40,-1663,-3328
1027,-1316,-3308
851,-1362,-3188
1324,-1284,-3044
1223,-1056,-3031
1051,-1300,-3269
713,-1487,-3513
374,-1691,-3458
33,-1709,-3612
-296,-1896,-3713
-584,-1987,-3815
-714,-2124,-3958
-860,-2280,-4016
-1180,-2446,-3842
-1263,-2616,-3725
-1322,-2416,-3486
-1562,-2220,-3119
-1774,-2063,-1648
-1968,-1975,-1600
-1851,-1358,-1499
-1756,-1150,-1234
-1314,-996,-1110
-960,-898,-918
-719,-520,-789
-681,-448,-493
-708,-254,103
-740,-244,237
-765,-81,426
-827,-101,525
-783,99,821
-630,99,742
-214,193,699
-290,93,707
-449,23,680
-601,-128,524
-734,-226,322
-840,-341,101
-903,-934,-56
-949,-1043,-501
-988,-874,-827
-1036,-896,-1046
-346,-890,-1021
113,-369,-842
406,10,-383
803,404,104
1138,969,609
1214,1407,893
1092,1460,1372
826,1260,1542
589,1047,1495
448,819,1245
371,571,1064
78,438,766
-75,227,295
-270,-131,-104
-234,-335,-348
-151,-356,-441
-170,-307,-692
-72,-608,-774
-135,-549,-931
-279,-847,-968
-379,-1170,-1144
-455,-1235,-1250
-673,-1389,-1265
-559,-1381,-1275
-475,-1377,-1209
-122,-1139,-1096
-59,-1122,-1107
5,-1102,-1118
584,40,-593
665,297,-303
1333,602,-56
1629,986,275
1833,1255,467
2115,1811,708
2250,2016,938
2271,2185,1209
2666,2370,1469
2605,2477,1726
2564,2751,2022
2643,2734,2112
2458,2707,2294
2385,2671,2318
2304,2533,2451
2171,2525,2347
2108,2497,2254
2230,2426,2310
2196,2402,2495
2173,2379,2519
3574,3660,2700
3414,3729,2919
3256,4022,3515
3097,3955,3998
2939,4046,4046
2774,3967,4288
2326,3863,4415
1919,3734,4636
1659,3534,4556
1356,3280,4473
1000,2918,4348
663,2621,4290
313,2340,4169
-12,2186,4047
-280,1919,3899
-406,1987,3732
-661,1726,3548
-1070,1438,3319
-1344,1111,3119
-1601,788,2945
-1945,394,2685
-2350,63,2362
-2759,-397,2024
-3243,-818,1645
-3512,-1110,1162
-3552,-1538,752
-3801,-1847,457
-3878,-1950,32
-3861,-2188,-474
-3665,-2249,-671
-3690,-2470,-909
-3807,-2524,-1189
-3812,-2611,-1330
-3816,-2698,-1479
-3453,-2721,-1686
-3433,-2885,-1830
-3439,-2876,-1953
-3270,-3005,-2191
-3075,-3026,-2283
-3021,-3039,-2502
-2839,-3141,-2937
-2516,-3049,-2959
-2084,-2840,-3558
-1812,-2599,-3704
-1490,-2384,-3645
-808,-2051,-3711
-571,-1737,-3593
240,-1569,-3418
409,-1211,-3292
930,-991,-3075
1332,-515,-2866
1864,-312,-2695
2226,168,-2449
2414,643,-2266
2846,915,-1988
3251,1327,-1761
3440,1617,-1484
3531,1826,-1504
3757,2477,-936
3798,2258,-1002
3828,2737,-392
3830,2744,-120
3824,2857,136
3756,2953,331
3670,3064,555
3641,3137,717
3500,3201,932
3450,3252,1123
3363,3346,1288
3253,3401,1435
3166,3418,1606
2999,3440,1694
2870,3499,1827
2720,3310,1935
1998,3292,2137
1492,2782,2149
1208,2527,2070
824,1969,1884
418,1808,1579
234,1568,1499
33,1306,1582
-148,1098,1590
-644,978,1624
-829,458,1628
-1512,256,1591
-1808,32,1537
-2009,-360,1469
-2257,-569,1319
-2726,-989,1157
-3009,-1326,1005
-3128,-1689,860
-3218,-1900,528
-3278,-2184,335
-3891,-2392,152
-4234,-2760,-74
-4281,-3300,-267
-4250,-3646,-495
-4221,-3791,-715
-4628,-3993,-1075
-4627,-4173,-1348
-4777,-4270,-1583
-4797,-4909,-1771
-5063,-4987,-1939
-4984,-5347,-2388
-4984,-5520,-2719
-4934,-5556,-2902
-4882,-5590,-2989
-4734,-5622,-3119
-4680,-5652,-3219
-4596,-5680,-3319
-4373,-5544,-3418
-4190,-5358,-3519
-3830,-5263,-3513
-3685,-4913,-3563
-3558,-4821,-3626
-3454,-4795,-3684
